gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000162426.16,166.87798192410628,-1.3131220406477633,0.15318464053722883,-8.572152116834664,1.0156880303369285e-17,1.896606272562484e-15,SLC45A1
ENSG00000143320.9,1489.2861682379144,1.6700836372158487,0.1954855747838594,8.543257675469883,1.3048998529665737e-17,2.410733068789098e-15,CRABP2
ENSG00000169715.15,514.7221144891166,-2.1646086568225336,0.2534522078895579,-8.540500297262213,1.336419467028631e-17,2.4429747857283378e-15,MT1E
ENSG00000163513.19,13201.120144366003,-1.4594702249512959,0.17101629620487332,-8.534100301195194,1.41250263715164e-17,2.5551584163307687e-15,TGFBR2
ENSG00000112773.16,513.9854366025274,1.1843103835076212,0.13891122782228707,8.525663490806819,1.5193637289838394e-17,2.720130981189006e-15,TENT5A
ENSG00000128923.11,1420.754609661304,-1.0423235695994064,0.1231952227792156,-8.460746659530843,2.6567098519499522e-17,4.70779829479213e-15,MINDY2
ENSG00000105516.11,87.17159482874251,1.67634850044951,0.19828630891259177,8.454181782104154,2.8105117178838135e-17,4.930034999269728e-15,DBP
ENSG00000134243.12,5509.620748744877,-2.229088939336874,0.26596939366117495,-8.380997936087963,5.248082075769077e-17,9.113819332780579e-15,SORT1
ENSG00000103064.15,703.1124859218792,-1.4793089347736421,0.17787926346994307,-8.316365302600921,9.070196808842044e-17,1.559535027548029e-14,SLC7A6
ENSG00000162704.16,2589.8144118512205,-0.8946690952691545,0.1076982406559265,-8.307183941169814,9.79999728339306e-17,1.668497576700038e-14,ARPC5
ENSG00000167549.19,1983.5253232067303,-2.366116316723492,0.2853400509740491,-8.292268500851584,1.1110876934753533e-16,1.8733154257177657e-14,CORO6
ENSG00000051108.15,2274.2531980335693,-0.7507541045729084,0.09061292443080039,-8.285287218008806,1.1782438840088407e-16,1.9674407009324546e-14,HERPUD1
ENSG00000135862.6,33891.702245891676,-0.8084392740588178,0.09759580113501372,-8.283545651112854,1.1956111309846687e-16,1.9774269429218817e-14,LAMC1
ENSG00000087448.11,961.9976175454644,-1.053410463293588,0.12718830713237278,-8.28229014949651,1.2082875727404084e-16,1.979539810208484e-14,KLHL42
ENSG00000183722.9,3002.0087806346755,-0.6988516089469835,0.08478788401130735,-8.242352278230983,1.6885753074501944e-16,2.7405419429140255e-14,LHFPL6
ENSG00000253368.4,1036.9351101975506,-1.9716035662280635,0.23951782158912976,-8.231552680076407,1.848022186489928e-16,2.971551230609638e-14,TRNP1
ENSG00000233117.4,90.69969552097774,-3.34600420927144,0.4070903644299357,-8.21931566461166,2.0466768086948383e-16,3.2607880238343634e-14,LINC00702
ENSG00000099860.9,367.135365863098,-1.4602450951540507,0.17830013551712603,-8.189814836196753,2.616283715566759e-16,4.1303984549574856e-14,GADD45B
ENSG00000120690.16,1429.5610011479334,-0.9296275946914997,0.11413527804185124,-8.144962807648508,3.7939850804592585e-16,5.935706748401395e-14,ELF1
ENSG00000020577.14,3098.51214704022,-1.2109747695309652,0.14873141434771311,-8.142024163771325,3.8872364523094363e-16,6.027298949179077e-14,SAMD4A
ENSG00000099337.5,910.4323568623985,-2.893007242305679,0.3553979697773726,-8.140190682906569,3.946558468878402e-16,6.065126935446224e-14,KCNK6
